category,namespace,row,guid,source_hash,zh_text,en_text,source_count,source_priority,target_source
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810130,E3406E7B45B1D7818663619FA9AA1579,1759549521,暗影渐袭,Shadow Approaches,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810210,E21C63A0468AF2B9F348BDB36B052C91,1294841607,阴谋Ⅰ,Conspiracy I,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810220,90D291324953370E3B15CFBFC831208E,4119973986,阴谋Ⅱ,Conspiracy II,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810230,70BFAF1A4333ADC89E7BD9A9B4855981,3877928844,阴谋Ⅲ,Conspiracy III,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810310,2A06FBDA4C2E5686A2DF849A6DEBB765,834914564,抗争Ⅰ,Resistance I,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810320,5D49CA1747E8629CBDB79E8E878671BD,2306846305,抗争Ⅱ,Resistance II,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810330,6C0A25D749C227B812F3378CC96CA719,2613707151,抗争Ⅲ,Resistance III,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810420,27F7F40C47B38B333AAE7B9DBE448E7D,3246126071,魔爪,Demon Claw,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810510,FD86D00244D4B300EC923397726B4B43,3885123624,凶戾Ⅰ,Ferocity I,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810520,ED0B1B7A43E05700018962BC44A50085,1596862285,凶戾Ⅱ,Ferocity II,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810530,756751154C7A8A139EC01CB6BFF61A07,1302036643,凶戾Ⅲ,Ferocity III,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810630,B77504904898A7293A9224B2FD750138,1880422487,扼命,Life-Grip,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12810730,C4432A3B4E4CB12F5C8AE59CADFBA2F6,1210247854,潜舞,Shadow Dance,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820130,BA304F37495A06AF5C4C02BB20952B5B,3887613341,虚空破碎,Void Shatter,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820210,8A02D4654260CFF8E413948E9814160B,277583773,迫近Ⅰ,Approaching I,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820220,BF41959A4B23E7143CBA61974AA713C0,2822238456,迫近Ⅱ,Approaching II,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820230,6010D25C4A28F9C2CB76569E25F9F711,3129106198,迫近Ⅲ,Approaching III,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820320,18970CB6408CC42905A3DA896B7A6828,758306862,热寂,Heat Death,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820410,40AA4FA04BC110AA011B42978E34A4CD,618685104,噬命Ⅰ,Life-Eater I,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820420,C8EA026B4BF3A3498014789D4B70A32D,2623276501,噬命Ⅱ,Life-Eater II,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820430,CCDF6F8C43225401A987849913ACB0B9,2397678139,噬命Ⅲ,Life-Eater III,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820510,F374716744631C092B7D3E8AEA542CDE,1484210345,震荡Ⅰ,Shock I,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820520,F7768B744D1AC7E5D9C5B5BCB04BBCD1,3771410380,震荡Ⅱ,Shock II,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820530,1D9AAE9D448E9C569643B786A77F2AC8,4068378658,震荡Ⅲ,Shock III,1,0,additional_entries
shadow_trial_effect_name,/Game/Data/DataTables/Plateau/PlateauBuff/DT_ShadowTrialBuff,12820610,968D11334773ECBD06C40F9221CC0143,1734931901,窒息Ⅰ,Suffocation I,1,0,additional_entries
