namespace	row	guid	reason	source	status	model	zh_text	source_text	text	official_en_text	shared_source_count
/BattleRoyale/Data/DataTables/DT_NetMessageErrorDefine_PVP	9402	C384ACF248741CABF807179352D78E5C	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	状态异常无法匹配，请稍后重试。	状态异常无法匹配，请稍后重试。	Unable to matchmake due to status abnormality. Please try again later.		1
/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	820020	33B47A2D4AC57E0972952A9ECB205E3C	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	元流等级达到53级	元流等级达到53级	Reach Origin Level 53		1
/Game/Data/DataTables/LocalText/DT_LocalizeText_Arena	RPVPLowCreditPunishTime	2282FF7F4BD14E78BEDC4593A6B3FAF3	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	信誉分过低，禁止匹配	信誉分过低，禁止匹配	Credit Score too low. Matchmaking disabled.		1
/Game/Data/DataTables/LocalText/DT_LocalizeText_Arena	RPVPLowCreditPunishToast	76A9B5E9477C3474F47FC1AD2B545A91	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	信誉分过低不能匹配，完成匹配模式对局可以恢复信誉分。	信誉分过低不能匹配，完成匹配模式对局可以恢复信誉分。	Credit Score too low to matchmake. Complete matches in matchmaking modes to restore your Credit Score.		1
/Game/Data/DataTables/LocalText/DT_LocalizeText_Arena	RPVPLowCreditPunishToastTeam	B15C2A8241C95BE0807649B93CF4625C	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	的信誉分过低，目前处于禁止匹配状态。	的信誉分过低，目前处于禁止匹配状态。	's Credit Score is too low and is currently banned from matchmaking.		1
/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	Plateau_HonorLevelNotEnough	3F2D9DEC41A6A2615E5E68859479A32C	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	您的装等不足，无法参与匹配	您的装等不足，无法参与匹配	Your Gear Score is too low to participate in matchmaking.		1
/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	Plateau_TeamHonorLevelNotEnough	6E684CDA4A985997BD287BBDC04A5AD8	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	队伍中存在装等不足玩家，无法参与匹配	队伍中存在装等不足玩家，无法参与匹配	A player in your party does not meet the required Gear Score to participate in matchmaking.		1
/Game/Data/DataTables/LocalText/DT_LocalizeText_RomaRoads	RomaRoadRewardCompensate	F002B29B4B0347D68EFC2DBF1E202498	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	最高追加  {0}倍	最高追加  {0}倍	Max Bonus {0}x		1
/Game/Data/DataTables/LocalText/DT_LocalizeText_RomaRoads	RomaRoadsDily_TipsContent	09D8098E4A559F2317C330B411AEE7D0	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	"【奖励内容】：可获得大量<9D7615>元流经验</>，快速升级。
【任务分类】：分为<9D7615>限次</>与<9D7615>无限循环</>两种，<9D7615>循环任务</>可无限次完成。
【刷新规则】：内容和奖励每日刷新。
【推荐体验】：部分<9D7615>高效任务</>被赋予较高奖励，可快速达成每日目标。持续完成每日任务，开启装备宝箱。
【奖励追加】：每档奖励都将根据昨天、前天的领取情况进行一定倍率的追加。
若昨天活跃不足以领取某档奖励，则本日该档奖励将额外加成100%。
若昨天、前天活跃均不足以领取某档奖励，则本日该档奖励将额外加成200%。
超过两日活跃不足以领取某档奖励时，至多额外加成200%。
【周活跃宝箱】：领取周宝箱需要累积足够的活跃度。活跃度累积足够后，于<9D7615>下周</>可领取周宝箱内奖励。"	"【奖励内容】：可获得大量<9D7615>元流经验</>，快速升级。
【任务分类】：分为<9D7615>限次</>与<9D7615>无限循环</>两种，<9D7615>循环任务</>可无限次完成。
【刷新规则】：内容和奖励每日刷新。
【推荐体验】：部分<9D7615>高效任务</>被赋予较高奖励，可快速达成每日目标。持续完成每日任务，开启装备宝箱。
【奖励追加】：每档奖励都将根据昨天、前天的领取情况进行一定倍率的追加。
若昨天活跃不足以领取某档奖励，则本日该档奖励将额外加成100%。
若昨天、前天活跃均不足以领取某档奖励，则本日该档奖励将额外加成200%。
超过两日活跃不足以领取某档奖励时，至多额外加成200%。
【周活跃宝箱】：领取周宝箱需要累积足够的活跃度。活跃度累积足够后，于<9D7615>下周</>可领取周宝箱内奖励。"	"[Rewards]: Gain a large amount of <9D7615>Origin EXP</> to level up quickly.
[Task Categories]: Divided into <9D7615>Limited</> and <9D7615>Infinite</> tasks. <9D7615>Infinite Tasks</> can be completed unlimited times.
[Reset Rules]: Content and rewards reset daily.
[Recommended]: Some <9D7615>High-Efficiency Tasks</> offer higher rewards to help you reach daily goals faster. Keep completing daily tasks to unlock Equipment Chests.
[Bonus Rewards]: Each reward tier will be increased by a certain multiplier based on your activity from yesterday and the day before.
If your activity yesterday was insufficient to claim a tier, today's reward for that tier will receive a 100% bonus.
If your activity yesterday and the day before was insufficient to claim a tier, today's reward for that tier will receive a 200% bonus.
If your activity has been insufficient for more than two days, the maximum bonus is 200%.
[Weekly Activity Chest]: You must accumulate enough Activity to claim the Weekly Chest. Once enough Activity is accumulated, you can claim the rewards from the Weekly Chest <9D7615>next week</>."		1
/Game/Data/DataTables/LocalText/DT_LocalizeText_RomaRoads	RomaRoadsRewardText	0F70CD77439D1280C1A3269CF97CE890	missing_in_en	missing_in_en_gemini	translated	gemini-3.1-flash-lite-preview	最高追加：{0}倍	最高追加：{0}倍	Max Bonus: {0}x		1
