"namespace"	"guid"	"source_hash_hex"	"source_hash"	"row"	"reason"	"source"	"status"	"model"	"zh_text"	"text"
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"022B14DB4F344FD2FC5E1E8CD0A27618"	"0x65653C96"	"1701133462"	"50101097"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"雪漪的传家宝。"	"Xueyi's family heirloom."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"04FA23E64BE1A125341110AE6C9AED42"	"0xC41776AE"	"3289872046"	"40307008"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"效果：暴击率提升<Gold_Basic>10%</>，持续<Gold_Basic>20</>分钟。"	"Effect: Increases Crit Rate by <Gold_Basic>10%</> for <Gold_Basic>20</> minutes."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"07D9B139434CC7577216419D108FEACE"	"0xBC7C7C27"	"3162274855"	"40307035"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"效果：疾流强度提升<Gold_Basic>12%</>，暴击率效果提升<Gold_Basic>12%</>，持续<Gold_Basic>20</>分钟。"	"Effect: Increases Gale Flow Intensity by <Gold_Basic>12%</> and Crit Rate by <Gold_Basic>12%</> for <Gold_Basic>20</> minutes."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"094C52F04D41879326754AB8B6580DB7"	"0x5A930E33"	"1519586867"	"40306007"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"效果：疾元素抗性提升<Gold_Basic>15%</>，持续<Gold_Basic>20</>分钟。"	"Effect: Increases Gale Resistance by <Gold_Basic>15%</> for <Gold_Basic>20</> minutes."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"0AD21C0949E10BA2BC75BFA74223C759"	"0x28DF4337"	"685720375"	"40305131"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"药效：即刻恢复<Gold_Basic>20%</>生命值，并在<Gold_Basic>15</>秒内，增加<Gold_Basic>46%</>追击率。"	"Effect: Instantly restores <Gold_Basic>20%</> HP, and increases Pursuit Rate by <Gold_Basic>46%</> for <Gold_Basic>15</> seconds."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"0CA325B34D7FB2DC07608CBACE5C46A1"	"0x4F13CD67"	"1326697831"	"40306029"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"效果：凝元素抗性提升<Gold_Basic>15%</>，持续<Gold_Basic>20</>分钟。"	"Effect: Increases Condensation Resistance by <Gold_Basic>15%</> for <Gold_Basic>20</> minutes."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"0E2C1B1E46DA939296BEE49BD8886EB5"	"0x12E07EAE"	"316702382"	"40306041"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"效果：攻击力提升<Gold_Basic>70</>，破势强度提升<Gold_Basic>8%</>，持续<Gold_Basic>20</>分钟。"	"Effect: Increases Attack by <Gold_Basic>70</> and Break Intensity by <Gold_Basic>8%</> for <Gold_Basic>20</> minutes."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"0F3E240C4135E78A3E0D4DB86882078F"	"0xCA0CACF0"	"3389828336"	"40307014"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"效果：攻击力提升<Gold_Basic>40</>点，持续<Gold_Basic>10</>分钟。"	"Effect: Increases Attack by <Gold_Basic>40</> for <Gold_Basic>10</> minutes."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"0FB44F2C4917C52A459653A087FF918F"	"0xA35AFAD8"	"2740648664"	"40305106"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"药效：在<Gold_Basic>15</>秒内，持续恢复<Gold_Basic>50%</>生命值，并降低<Gold_Basic>80%</>受到的凝元素伤害，持续<Gold_Basic>10</>秒。"	"Effect: Continuously restores <Gold_Basic>50%</> HP over <Gold_Basic>15</> seconds and reduces incoming Cryo damage by <Gold_Basic>80%</> for <Gold_Basic>10</> seconds."
"/Game/Data/DataTables/Item/DT_ItemBaseData"	"10174F1B450FC344A30C5CA05C07E56F"	"0x2838A36B"	"674800491"	"40307004"	"missing_in_en"	"missing_in_en_gemini"	"translated"	"gemini-3.1-flash-lite-preview"	"效果：少量提升耐力上限，持续<Gold_Basic>20</>分钟。"	"Effect: Slightly increases Stamina limit for <Gold_Basic>20</> minutes."
