change_type	namespace	guid	source_hash	row	zh_text	old_en_text	new_en_text	status	allow_new_namespace
added_entry	/Game/Data/DataTables/Achievement/DT_Achievement/DT_AchievementBattle	0027D77444C174D5A0D236B4C5605575	1548407661	10018	在梦行奇谭·瑞火社戏中成功绊倒铠鼠大王2次		Successfully trip the Rat King 2 times in Dreamland Tales: Ruihuo Opera	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_LongYa	4F0C2183427125A41B1789BB4DEB7845	2957051271	213003_1	"<Skill_HL2 ContentRow=""102103"">熔铸爆炸</>的伤害提升<Skill_Number>30%</>。<Skill_HL2 ContentRow=""102102"">熔铸</>状态期间，每受到<Skill_Number>5</>次攻击，会额外触发一次<Skill_HL2>熔铸爆炸</>，每<Skill_Number>2</>秒最多触发<Skill_Number>1</>次。"		"Increases <Skill_HL2 ContentRow=""102103"">Smelt Explosion</> damage by <Skill_Number>30%</>. While in the <Skill_HL2 ContentRow=""102102"">Smelt</> state, every <Skill_Number>5</> hits received triggers an additional <Skill_HL2>Smelt Explosion</>, up to <Skill_Number>1</> time every <Skill_Number>2</> seconds."	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_SSX	E7E6A4074032F35ADFD092BB0014F223	1419980049	269050_1	<Skill_HL1>究极弩炮</>命中后，将分裂出<Skill_Number>4</>个小炮弹，每个造成原本<Skill_Number>80%</>伤害。		After <Skill_HL1>Ultimate Ballista</> hits, it splits into <Skill_Number>4</> small projectiles, each dealing <Skill_Number>80%</> of the original damage.	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_SSX	1BDA5DB44A99D5720EB4C7B7F29C7CDA	3583193940	269050_100	<Skill_HL1>究极弩炮</>命中后，将分裂出<Skill_Number>4</>个小炮弹，每个造成原本<Skill_Number>20%</>伤害。		After <Skill_HL1>Ultimate Ballista</> hits, it splits into <Skill_Number>4</> small projectiles, each dealing <Skill_Number>20%</> of the original damage.	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_Kai	50B96AFC493B5994E3DD9896DA6B9D80	4081438458	30000_1	#power8#攻击力+#defend8#防御力		+#power8# ATK + #defend8# DEF	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_SSX	94CADFD74729695D68EFBB8DD090F690	2930016937	260000_1	持续攻击敌人，造成伤害。		Continuously attack enemies to deal damage.	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_SSX	4D13B3CD4448A441CD811384369C9176	2198291570	260150_1	"向输入方向跃起，攻击目标并获得活力状态。
活力状态下攻击额外恢复耐力。"		"Leap in the input direction to attack the target and gain Vitality.
Attacks while in the Vitality state restore additional Stamina."	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_SSX	EECFD29A491EAE3232A5BCBB2057F4F7	2867743301	260150_1	"向输入方向跃起攻击敌人，造成<IconSkill></>流技伤害。施放后<Skill_Number>15</>秒内获得活力状态，<Skill_HL1 ContentRow=""102607"">强化射击</>命中敌人将返还翻滚的耐力。"		"Leap in the input direction to attack enemies, dealing <IconSkill></> Flow Skill damage. Gain Vitality for <Skill_Number>15</>s after casting. <Skill_HL1 ContentRow=""102607"">Empowered Shot</> hits restore Stamina used for rolling."	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_SSX	7E91772245D9B21E6D42CEAD83BB51BD	1937113064	260300_1	<Skill_Title>千金一怒</>		<Skill_Title>Thousand Gold Fury</>	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_SSX	82D27B2B4E5AD225034B4CBD9B498198	937008159	269000_1	"翻滚攻击将获得<Skill_HL2 ContentRow=""102601"">突袭值</>，消耗<Skill_HL2>突袭值</>普攻强化为<Skill_HL1 ContentRow=""102606"">翻滚突袭</>，造成更高伤害。
引爆<Skill_HL2 ContentRow=""102609"">红莲状态</>获得<Skill_HL2 ContentRow=""102602"">活力值</>，消耗<Skill_HL2>活力值</>进入<Skill_HL1 ContentRow=""102604"">红莲绽</>状态，获得强化普攻，发射<Skill_HL2 ContentRow=""102610"">千金重弹</>。"		"Rolling attacks grant <Skill_HL2 ContentRow=""102601"">Assault Points</>. Consume <Skill_HL2>Assault Points</> to empower basic attacks into <Skill_HL1 ContentRow=""102606"">Rolling Assault</>, dealing increased damage.
Detonate <Skill_HL2 ContentRow=""102609"">Red Lotus</> state to gain <Skill_HL2 ContentRow=""102602"">Vitality</>. Consume <Skill_HL2>Vitality</> to enter the <Skill_HL1 ContentRow=""102604"">Red Lotus Bloom</> state, gaining empowered basic attacks and firing <Skill_HL2 ContentRow=""102610"">Heavy Ballista</>."	translated	False
added_entry	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_HeroicChronicles	C659036D41CE2FE26FE610BBE65801C1	4123590600	9520016	完成《花木兰：相争相识》、获得共鸣【传说之刃】或收集任意花木兰故影后解锁。		"Unlocked after completing ""Hua Mulan: Rivalry and Recognition"", obtaining the Resonance [Legendary Blade], or collecting any Hua Mulan Echo."	translated	False
added_entry	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Achievement	B71906DA4D5D84A3CB84159ED998694B	2051837648	51276	"在梦行奇谭·瑞火社戏中，同一次boss挑战期间成功绊倒铠鼠大王<span color=""#5EA8F3"">2</>次"		"Successfully trip the Rat King <span color=""#5EA8F3"">2</> times during a single boss challenge in Dreamland Tales: Ruihuo Opera"	translated	False
added_entry	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_HeroMission	B8977E0D4BC7AC9D2C9AE9B119A26D69	4085280896	4040101	"完成<span color=""#FFE398"">觉醒剧情第二章木篱危机</>后解锁"		Unlocked after completing Awakening Story Chapter 2: Wattle Crisis	translated	False
added_entry	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_HeroicChronicles	D47D9B734210D027E6DF1CBFD05DC65B	2454400013	9520094	完成任务《花木兰：相争相识》		"Complete the quest ""Hua Mulan: Rivalry and Recognition"""	translated	False
added_entry	/Game/Data/DataTables/CommonTime/DT_CommonTimeTable	479225C949C74BC2268F3F86D18B26F2	336448257	1221	[正式][S1]1.2W3玄清前两周折扣时间（7.23-8.5）		[Official][S1] 1.2W3 Xuanqing First Two Weeks Discount (7.23-8.5)	translated	False
added_entry	/Game/Data/DataTables/CommonTime/DT_CommonTimeTable	C7AD75324AB7453B2023CAB1B4AF7038	811755559	1223	[正式][S1]1.1W3前两周玄清折扣时间（6.11-6.24）		[Official][S1] 1.1W3 Xuanqing First Two Weeks Discount (6.11-6.24)	translated	False
added_entry	/Game/Data/DataTables/CommonTime/DT_CommonTimeTable	4F67F81C411C6598896E97A0B8BF1402	916732160	1224	[正式][S1]1.2W5开始两周折扣（8.6-9.2）		[Official][S1] 1.2W5 Two-Week Discount Start (8.6-9.2)	translated	False
added_entry	/Game/Data/DataTables/CommonTime/DT_CommonTimeTable	6768E8FD4A24FC39F093B9A9E83F6D8A	3033317837	1226	[正式][S1]1.1W3玄清四周上架时间（6.11-7.8）		[Official][S1] 1.1W3 Xuanqing Four-Week Availability (6.11-7.8)	translated	False
added_entry	/Game/Data/DataTables/EnemyChallenge/DT_EnemyChallengeGroup	F753736D479C08B93541C6BBCF84B95F	1279187687	301290220	受到的攻击不超过5次		Take no more than 5 hits	translated	False
added_entry	/Game/Data/DataTables/Event/HeroStory/HS4/DT_EventGuide_HS4_S01M06	7200E82B4D50E13FCC92098C1CA9BF63	284687189	HS4_S1M6_06	回到云根镇		Return to Yungen Town	translated	False
added_entry	/Game/Data/DataTables/Event/SideQuest/C/DT_EventGuide_SideQuest_CL11_GoHome05	EE9E4A4740D9855B5E522CB4B92E334F	3057603568	CL11_GoHome05_06	在室内摆放一次柱状房灯（家具列表-装饰-装饰灯）		Place a Columnar Room Lamp indoors (Furniture List - Decorations - Lamps)	translated	False
added_entry	/Game/Data/DataTables/Event/SideQuest/I/DT_EventGuide_I_I44	900658854FE7ED23CA723AB97D69FFA3	2541918917	I44_8	前往逐浪湾		Head to Zhulang Bay	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	2784C7D540FB64A437BC3E9ED4C7906A	398994706	110001026	获得千金重弩共鸣的象征。		Obtain the symbol of the Thousand-Gold Heavy Crossbow resonance.	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	B6EE83304B2DB85D778CEA94E227D930	2995282544	110001026	千金重弩共鸣的象征		Symbol of the Thousand-Gold Crossbow Resonance	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	7A80D47C4A5FE27E936ADEB197AEE49D	2401988489	11130351	"萤火围绕着的金属头冠。在绿洲中，萤火守候着未归乡的旅人。
萤火是故人的化身，也是地上的星星。"		A metal crown surrounded by fireflies. In the oasis, fireflies watch over travelers who have yet to return home. Fireflies are the incarnations of old friends, and stars upon the earth.	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	A86BBD734835CC3BB6B8DF953AE2D175	2387242442	11130352	"鸣沙之民们喜爱的新绿色长袍。绿宝石一般的颜色，如同横亘在无垠黄沙中的绿洲。
远游山川，星河在天。"		A fresh green robe favored by the people of the Singing Sands. Its emerald color is like an oasis stretching across the endless yellow sands. Traveling through mountains and rivers, the stars shine in the sky.	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	482865D9428C69EC69806BB7D87817E9	4029105508	11130353	"鸣沙之民们的轻薄手甲。
微弱的萤火之光照亮游子的归乡长路。"		Lightweight gauntlets worn by the people of the Singing Sands. The faint glow of fireflies lights the long road home for the wanderer.	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	C1120EB5469C8DD7F8613C8FD2CDBF78	3889909851	11130354	"踏遍云中诸国的皮鞋，与其主人一起经受过无尽黄沙的吹拂，最终踏入那无尽的画中世界。
再次踏上的故土，已成为黄沙残垣。"		The leather shoes that have traveled across the nations of the Cloud Realm, having endured the endless blowing sands with their owner, finally stepped into that endless world of paintings. The homeland they stepped back onto has become ruins of sand.	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	B2A216E04CEBBF5EBDDEE192EB33D45E	1209341014	11130355	"以祖桑枝桠雕刻而成的木剑，其中蕴含的希望之种等待着发芽。
祖桑会永远庇佑鸣沙之子。"		A wooden sword carved from a branch of the Ancestral Mulberry, holding a seed of hope waiting to sprout. The Ancestral Mulberry will always protect the children of Mingsha.	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	594C070E4BAFD0E40DFA568199DD13F0	2520281430	20003189	该烟花为无发射器烟花，持续时间60秒。		This firework does not require a launcher and lasts for 60 seconds.	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	1F19742743ECFFB304CF8BA5C62C94B2	1227155637	21000005	钓鱼		Fishing	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	9F131FBC49EA31EA053AB3ACD8DCFF1D	1227155637	21000006	钓鱼		Fishing	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	0C890188410E5D9B74CC678E92988997	1227155637	21000007	钓鱼		Fishing	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	D332D6A541F7C9FD0C1FDDA693B7AEB9	1227155637	21000008	钓鱼		Fishing	translated	False
added_entry	/Game/Data/DataTables/Item/DT_ItemBaseData	ACEEE906425225F04AFDE693BCCF868A	1227155637	21000009	钓鱼		Fishing	translated	False
