namespace	guid	row	source
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_World	32287EEE46B50672509A8E8C363754FB	50101449	工巧家的笔记
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_World	97CD3A41420DCD391EB9729678303D3E	50103104	云之诗
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_World	AC0923AD432456C044EE82B8291A26C7	50103108	将作百工二
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_World	5CBD49964161856B4CF089A6C3F946C8	50103109	豳风百战四
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_World	E8C9E63A4E8F32B43E8D3E809C3F9112	50103111	路边野怪三
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_Side	5A36FC2041551A40E50188AB0217CB23	50101313	捣狸戏言录
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_Side	1B45DD094F42A77A4E0A159C47EC78FC	50101448	工巧家的笔记
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_Side	79128377458212584AB828B7C77D4CE4	50101638	手记·谷雨
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_Side	471FCEEB483A4768BBF439A1661B27A5	50103023	一张揉皱的订单
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_Side	14A76FBF4348470EF340D8968D4B9CD6	50103054	字迹潦草的纸条
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_Side	BBF36659464D0F5148251BB416E3732A	50103223	密令残片·一
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_Side	A85B65CF4E3B3C3B56AD44878FD00509	50103225	密令残片·二
/Game/Data/DataTables/Item/DT_ItemPersonalizationAppearance	A41229674737C3E5D564AF8F08B9A415	1021000005	百炼
/Game/Data/DataTables/Item/ItemQuest/DT_Item_Quest_Main	E4D83D8E4A398B777185D8840CAFCBD2	50101269	吕父的留书
/Game/Data/DataTables/Item/DT_ItemSpecial	66045534451786BA6B211FA1DA8C9474	110001011	幻纱之灵
/Game/Data/DataTables/Item/DT_ItemDish	AB27D8C846FE6437FB5733BE56ED658E	40307045	丰云酿 
/Game/Data/DataTables/Item/DT_ItemFurniture	8AF13D1D41E3E40577D9499E0B4F5EA1	40315575	东方曜立牌
/Game/Data/DataTables/Item/DT_ItemFurniture	93C55394464DFB675789509E2A88F213	40315577	李白立牌
/Game/Data/DataTables/Item/DT_ItemFurniture	395BF8834315943DDA54FC89A796D0A9	40315687	书堆
/Game/Data/DataTables/Ethnography/DT_Ethnography_POIGameplayPoint	F527D4284706858D9CC91DABB24DA855	100021	激战试炼
/Game/Data/DataTables/Ethnography/DT_Ethnography_BigWorldMonster	4CC5F2CC42627192141D759E7DC4DD8D	0BAB2CA44F4029FF00FFF284115CC69A	实验型鲁班五号
/Game/Data/DataTables/Ethnography/DT_Ethnography_BigWorldMonster	4CC5F2CC42627192141D759E7DC4DD8D	62DC10884CC1D830DE2D2FA97CC45F25	实验型鲁班五号
/Game/Data/DataTables/NPCTable/DT_NPC_Enemy_LD	4CC5F2CC42627192141D759E7DC4DD8D	301290220	实验型鲁班五号
/Game/Data/DataTables/Ethnography/DT_Ethnography_BigWorldMonster	6E32ACBE4F68580B83254DBCC70DACA8	1DD403FA4F2DD8EA18E941ACEF890DF4	赤红灵兽
/Game/Data/DataTables/NPCTable/DT_NPC_Enemy_LD	6E32ACBE4F68580B83254DBCC70DACA8	302290002	赤红灵兽
/Game/Data/DataTables/Ethnography/DT_Ethnography_BigWorldMonster	87F1288C4216E49AF9DDA4B96FD77182	721E7A7049C52AF83474418AB3D3328B	玄啸
