category,namespace,row,guid,source_hash,zh_text,en_text,source_count,source_priority
monster_name,/Game/Data/DataTables/RPVP/DT_NPC_Enemy_RPVP,800020,1ABF1CEF4ECF8A3911152ABDE754C0BE,963813038,【暂无】蔚蓝幼兽,[Pending] Azure Cub,1,7
monster_name,/Game/Data/DataTables/RPVP/DT_NPC_Enemy_RPVP,800030,753FD24A4A504AA1A88AEBA3E481BCFF,346461495,【暂无】蔚蓝幼兽-召唤,[Pending] Summon Azure Cub,1,7
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,299002,4CD0BFE44A05D98BF8BE7C8E769D5651,2361056102,丁午亥,NO. 4GL,11,0
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,290081,632EDA6142B2BF514F0957849F61353B,2809926664,万枢重锤,Megadrive Hammer,13,0
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,306101,05D4709640655CEBE01F688A2CFD4334,2533552901,万法铸灵,Manifold Sentinel,4,0
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,200065,DB66468540C4CD0B355DA49409302F43,2399314680,万锻凝刀俑,Superior Icesword Effigy,6,0
monster_name,/Game/Data/DataTables/NPCTable/DT_NPC_EnemyQuest,404200067,D3ADA55B483E01656FD95AABE4B4EB50,2168023105,万锻刃将,Effigy Prime,1,5
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,200063,047A4C164B3D25F704A64DB7E93E5E5D,3299325118,万锻流刀俑,Superior Firesword Effigy,8,0
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,200024,6B989133440CB2437D2207BB450855A8,876665123,万锻雷枪俑,Superior Glintspear Effigy,13,0
monster_name,/Game/Data/DataTables/NPCTable/DT_NPC_Enemy,202201,0748E0A94D66F4DB143C468D4CEAD142,3323349894,东方曜,Novar,4,1
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,200219,ADF9E0174A8DC5DE26FE9392DFBCCD04,3900345327,丰华硕木,Great Arborean,20,0
monster_name,/Game/Data/DataTables/NPCTable/DT_NPC_EnemyQuest,513201702,7EA058CA4375EF03B1CD4B850AA084B0,4145259405,乐正锡,Le Zhengxi,1,5
monster_name,/BattleRoyale/Data/DataTables/Character/DT_NPC_Enemy_PVP,10040306,BA4E5473406E83D6BBEE1B914646046D,3261753358,乔木篱,Arbor Saepes,3,6
monster_name,/Game/Data/DataTables/NPCTable/DT_NPC_Enemy_LD,220300088,299027D643D04120A2EE76BB90EF3D8D,1217105748,乘信鳍,Letterbearer Fin,1,4
monster_name,/Game/Data/DataTables/NPCTable/DT_NPC_Enemy_LD,220300087,78FEB5954259F31D1BE7D6917E978262,1268184031,乘愈鳍,Healing Fin,1,9500
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,202621,33CC064D49F5FDC2B2F643BD029357E9,3530086894,乱刃铸灵,Ripper Sentinel,5,0
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,300004,076AA6D045E7289D1C94A7B0706679BB,2813692012,云不见,Aershroud,1,0
monster_name,/Game/Data/DataTables/NPCTable/DT_NPC_Enemy,290243,4D500B2C4E1BE367D08AB480CC57670A,4290979334,云丝结晶,Aersilk Crystal,2,1
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,200212,955F1FEC472E3DF67C098B85DCB68D62,435577390,云御重篱,Aeroward Macroepes,12,0
monster_name,/Game/Data/DataTables/NPCTable/DT_NPC_Enemy,200807,B6C4938B45FAA814A61F14B2739CE1FB,1507543185,云根,Aerux,2,1
monster_name,/Game/Data/DataTables/FieldGuide/FieldGuideExtraInfo/DT_FieldGuide_Auto,200921,0E894B734FDBDB8B8F6B82BDB0B0CA76,2242204665,云水母,Aero Jellyfish,2,0
